Geo_FIPS,Geo_QName,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_PUMA5,Geo_NAME,Geo_BTTR,Geo_BTBG,Geo_PLACESE,SE_A09005_001,SE_A09005_002,SE_A09005_009,SE_A09005_010,SE_A09005_003,SE_A09005_004,SE_A09005_005,SE_A09005_006,SE_A09005_007,SE_A09005_008
"53041971600","Census Tract 9716, Lewis County, Washington","wa","140","00",,,,"53","041",,,"971600",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 9716",,,,1642,1360,1205,155,3,0,0,176,19,84
"53041971700","Census Tract 9717, Lewis County, Washington","wa","140","00",,,,"53","041",,,"971700",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 9717",,,,2112,1899,1627,272,10,0,0,14,3,186
"53041971800","Census Tract 9718, Lewis County, Washington","wa","140","00",,,,"53","041",,,"971800",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 9718",,,,1367,1159,1080,79,0,0,0,130,0,78
"53041971900","Census Tract 9719, Lewis County, Washington","wa","140","00",,,,"53","041",,,"971900",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 9719",,,,982,871,689,182,11,0,7,70,0,23
"53041972000","Census Tract 9720, Lewis County, Washington","wa","140","00",,,,"53","041",,,"972000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 9720",,,,857,732,585,147,0,0,29,0,0,96
"53043960100","Census Tract 9601, Lincoln County, Washington","wa","140","00",,,,"53","043",,,"960100",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 9601",,,,696,595,494,101,0,0,0,50,3,48
"53043960200","Census Tract 9602, Lincoln County, Washington","wa","140","00",,,,"53","043",,,"960200",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 9602",,,,1492,1240,1160,80,0,0,0,27,17,208
"53043960300","Census Tract 9603, Lincoln County, Washington","wa","140","00",,,,"53","043",,,"960300",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 9603",,,,976,805,720,85,0,0,0,30,6,135
"53043960400","Census Tract 9604, Lincoln County, Washington","wa","140","00",,,,"53","043",,,"960400",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 9604",,,,1254,863,733,130,1,26,5,107,11,241
"53045940000","Census Tract 9400, Mason County, Washington","wa","140","00",,,,"53","045",,,"940000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 9400",,,,260,238,196,42,0,0,0,4,0,18
"53045960100","Census Tract 9601, Mason County, Washington","wa","140","00",,,,"53","045",,,"960100",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 9601",,,,312,251,211,40,0,0,0,0,7,54
"53045960201","Census Tract 9602.01, Mason County, Washington","wa","140","00",,,,"53","045",,,"960201",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 9602.01",,,,556,213,213,0,0,0,0,85,27,231
"53045960202","Census Tract 9602.02, Mason County, Washington","wa","140","00",,,,"53","045",,,"960202",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 9602.02",,,,1198,1101,997,104,0,0,0,18,34,45
"53045960301","Census Tract 9603.01, Mason County, Washington","wa","140","00",,,,"53","045",,,"960301",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 9603.01",,,,837,715,562,153,25,0,0,18,0,79
"53045960302","Census Tract 9603.02, Mason County, Washington","wa","140","00",,,,"53","045",,,"960302",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 9603.02",,,,2077,1871,1467,404,78,25,0,24,2,77
"53045960401","Census Tract 9604.01, Mason County, Washington","wa","140","00",,,,"53","045",,,"960401",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 9604.01",,,,1725,1633,1284,349,0,17,0,39,0,36
"53045960402","Census Tract 9604.02, Mason County, Washington","wa","140","00",,,,"53","045",,,"960402",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 9604.02",,,,1026,930,888,42,0,0,0,5,0,91
"53045960403","Census Tract 9604.03, Mason County, Washington","wa","140","00",,,,"53","045",,,"960403",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 9604.03",,,,1369,1301,1115,186,0,0,0,0,0,68
"53045960500","Census Tract 9605, Mason County, Washington","wa","140","00",,,,"53","045",,,"960500",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 9605",,,,2217,1725,1486,239,0,0,0,2,15,475
"53045960600","Census Tract 9606, Mason County, Washington","wa","140","00",,,,"53","045",,,"960600",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 9606",,,,1544,1421,1189,232,17,0,7,11,14,74
"53045960700","Census Tract 9607, Mason County, Washington","wa","140","00",,,,"53","045",,,"960700",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 9607",,,,833,733,657,76,0,0,0,41,3,56
"53045960800","Census Tract 9608, Mason County, Washington","wa","140","00",,,,"53","045",,,"960800",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 9608",,,,1390,1273,1065,208,5,0,0,41,0,71
"53045960900","Census Tract 9609, Mason County, Washington","wa","140","00",,,,"53","045",,,"960900",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 9609",,,,2173,1810,1586,224,69,0,0,50,0,244
"53045961000","Census Tract 9610, Mason County, Washington","wa","140","00",,,,"53","045",,,"961000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 9610",,,,2306,2072,1829,243,0,0,0,0,18,216
"53045961101","Census Tract 9611.01, Mason County, Washington","wa","140","00",,,,"53","045",,,"961101",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 9611.01",,,,600,458,458,0,14,0,0,26,49,53
"53045961102","Census Tract 9611.02, Mason County, Washington","wa","140","00",,,,"53","045",,,"961102",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 9611.02",,,,1459,1120,984,136,0,16,0,0,0,323
"53045961200","Census Tract 9612, Mason County, Washington","wa","140","00",,,,"53","045",,,"961200",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 9612",,,,1642,1454,1255,199,13,0,0,17,23,135
"53045961300","Census Tract 9613, Mason County, Washington","wa","140","00",,,,"53","045",,,"961300",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 9613",,,,2011,1748,1450,298,37,0,0,5,37,184
"53047940100","Census Tract 9401, Okanogan County, Washington","wa","140","00",,,,"53","047",,,"940100",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 9401",,,,907,802,727,75,0,0,0,43,10,52
"53047940200","Census Tract 9402, Okanogan County, Washington","wa","140","00",,,,"53","047",,,"940200",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 9402",,,,1562,967,717,250,3,0,0,8,68,516
"53047970301","Census Tract 9703.01, Okanogan County, Washington","wa","140","00",,,,"53","047",,,"970301",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 9703.01",,,,1341,1127,828,299,0,0,0,101,37,76
